Lesson_Summary,Quiz Summary,Assignment Summary,Grade Point Average,Intermediate class Eligibility
0.8,FALSE,45,63.6,FALSE
0.8,FALSE,41,68.2,FALSE
0.4,TRUE,19,68.2,FALSE
1.4,TRUE,30,64.3,TRUE
0.2,TRUE,47,96.8,FALSE
1,TRUE,0,27.1,FALSE
1.2,TRUE,13,48.2,TRUE
0,FALSE,49,90.3,TRUE
1,TRUE,32,87.4,TRUE
0,FALSE,56,32.2,TRUE
1,FALSE,89,19.5,TRUE
1,TRUE,75,17.7,TRUE
1,TRUE,38,87.9,FALSE
0.2,FALSE,97,62.6,FALSE
1,FALSE,94,55.4,FALSE
1,FALSE,58,67.6,TRUE
0,FALSE,41,5.1,FALSE
1.4,FALSE,59,53.4,TRUE
1,TRUE,69,93.1,TRUE
1,FALSE,36,41.4,FALSE
1.2,TRUE,30,52,TRUE
1.4,FALSE,27,34.4,FALSE
0.4,FALSE,70,26.1,FALSE
1.2,FALSE,46,32.4,FALSE
1,TRUE,91,90.1,FALSE
0.2,FALSE,10,17.9,TRUE
0.6,FALSE,16,64.7,FALSE
0.6,FALSE,15,13.8,TRUE
0,TRUE,75,4.4,FALSE
0.6,TRUE,30,2.7,FALSE
1.2,TRUE,70,65.1,TRUE
0.6,FALSE,40,46.2,FALSE
1.2,TRUE,96,41,FALSE
0.4,TRUE,1,40.8,FALSE
0.2,TRUE,44,91.5,FALSE
0,FALSE,55,64.1,TRUE
0.2,TRUE,35,48.6,FALSE
0.8,TRUE,68,41,FALSE
0.4,TRUE,95,84.2,TRUE
0.6,TRUE,53,88.3,TRUE
0.4,FALSE,2,98.7,TRUE
1.2,TRUE,13,53.7,TRUE
1.2,TRUE,33,21.3,TRUE
1.2,FALSE,49,2.3,TRUE
0.8,TRUE,87,91.8,FALSE
0.8,TRUE,70,34.8,FALSE
0.2,TRUE,37,85.9,TRUE
1.2,FALSE,63,20.6,FALSE
0.8,TRUE,55,24.4,FALSE
0.4,FALSE,87,50.3,TRUE
0.4,FALSE,16,27.9,TRUE
1.2,TRUE,38,48.9,FALSE
1.2,TRUE,44,27,TRUE
0.4,TRUE,53,98.4,TRUE
1.2,FALSE,30,77.1,TRUE
0,TRUE,56,40.8,TRUE
0.2,FALSE,87,91,TRUE
1,TRUE,58,8.6,TRUE
0.4,FALSE,6,87.7,FALSE
1.2,FALSE,26,31.4,TRUE
0.4,TRUE,80,99,TRUE
0,FALSE,52,13.5,TRUE
1.2,TRUE,55,34,FALSE
1.2,FALSE,94,83.6,TRUE
0.4,TRUE,97,36.3,TRUE
0.2,TRUE,56,24.4,TRUE
1.4,TRUE,93,7.3,TRUE
0.6,FALSE,90,35.5,FALSE
0,FALSE,84,22.6,FALSE
1,FALSE,87,62.5,TRUE
0.2,TRUE,5,43.8,FALSE
0,FALSE,44,43.8,FALSE
1,TRUE,65,76.9,FALSE
1.2,TRUE,30,97.6,FALSE
1.4,TRUE,85,34.3,FALSE
1,TRUE,97,25,FALSE
1.2,TRUE,64,40.5,FALSE
1.2,FALSE,49,98.5,TRUE
0.6,FALSE,33,32.7,FALSE
0.4,FALSE,37,80.9,FALSE
1.4,TRUE,100,63.7,TRUE
1,FALSE,39,44.2,TRUE
0.6,TRUE,14,84.7,FALSE
1,TRUE,66,57.6,TRUE
1,FALSE,61,81.8,TRUE
0.6,TRUE,96,48.6,FALSE
1,TRUE,35,98.5,TRUE
0.6,FALSE,95,66.7,FALSE
0.6,FALSE,32,20.7,FALSE
0.6,FALSE,30,57.5,TRUE
0.4,FALSE,38,45.4,FALSE
1,TRUE,70,49.8,TRUE
1.4,FALSE,63,3.8,TRUE
0.8,FALSE,38,7.2,TRUE
0.8,TRUE,52,16.4,FALSE
0.2,FALSE,44,76.5,FALSE
1.2,TRUE,3,28,TRUE
1.4,FALSE,5,86.3,TRUE
0,FALSE,62,99.5,FALSE
1.2,FALSE,22,84.6,FALSE
0.8,TRUE,8,89.9,TRUE
0.2,FALSE,18,89.2,TRUE
1.4,TRUE,29,59.5,TRUE
0.4,FALSE,26,20,FALSE
1.2,FALSE,28,68.9,TRUE
1.4,TRUE,39,58.2,TRUE
0.6,FALSE,43,84.1,TRUE
0.2,TRUE,12,40.9,TRUE
0.8,FALSE,15,32.8,TRUE
0.4,TRUE,92,47.7,TRUE
1,FALSE,19,22.2,FALSE
0,FALSE,65,75.7,TRUE
1.2,TRUE,37,34.8,TRUE
0,FALSE,74,63.1,FALSE
1.4,FALSE,76,12.3,TRUE
0.4,FALSE,21,28.2,TRUE
0.8,FALSE,48,81.7,TRUE
1.2,TRUE,66,14.3,TRUE
1.2,FALSE,91,39.3,FALSE
0.4,TRUE,5,72.1,FALSE
1,TRUE,93,46.8,FALSE
0.4,FALSE,0,59.3,FALSE
0.2,TRUE,100,50.9,TRUE
1.2,FALSE,59,32,TRUE
1.2,TRUE,64,10.7,TRUE
1.4,FALSE,73,86,FALSE
0,FALSE,63,35.6,FALSE
0.2,FALSE,48,60.6,TRUE
0.2,TRUE,32,13.8,TRUE
0,FALSE,39,13.4,TRUE
1.4,TRUE,33,84,FALSE
0.2,FALSE,4,66.9,TRUE
0.8,TRUE,69,48.5,FALSE
1,FALSE,54,76.5,FALSE
0.2,FALSE,6,51.5,FALSE
0.8,TRUE,70,89.8,FALSE
1.4,TRUE,99,85.8,TRUE
0.6,TRUE,48,7.8,FALSE
0.2,FALSE,35,30.7,TRUE
0.8,FALSE,34,21.5,TRUE
1,FALSE,70,39.6,FALSE
0,FALSE,2,35.1,TRUE
1.2,TRUE,17,41.4,TRUE
0.8,TRUE,52,66,FALSE
1.4,TRUE,87,5.7,TRUE
1.4,FALSE,29,59,FALSE
0,FALSE,90,86.8,TRUE
1.4,TRUE,22,1.5,FALSE
1,TRUE,45,87.7,FALSE
1.4,TRUE,22,21.7,FALSE
0,TRUE,53,23.1,TRUE
1.2,FALSE,90,67.9,FALSE
0.8,FALSE,24,8.3,FALSE
0.2,TRUE,33,36.3,FALSE
0.2,FALSE,82,52.9,FALSE
1.2,FALSE,56,70.2,TRUE
0.4,FALSE,70,91.3,TRUE
0.8,TRUE,63,84.6,FALSE
0.4,TRUE,17,61.9,TRUE
0.8,TRUE,5,16.6,FALSE
0.4,TRUE,59,47.5,FALSE
0,FALSE,57,74.7,TRUE
0.8,FALSE,94,72,TRUE
0,FALSE,87,74,FALSE
0,FALSE,83,31.2,FALSE
0.4,TRUE,18,72.6,FALSE
1,TRUE,78,59,TRUE
0.4,FALSE,70,62.4,TRUE
1.2,FALSE,7,27.9,TRUE
0.6,TRUE,42,60.8,TRUE
1.4,FALSE,4,93.9,FALSE
0,FALSE,43,63.4,FALSE
0.4,FALSE,0,26.8,FALSE
1,TRUE,11,30.5,TRUE
1,TRUE,39,99.8,FALSE
1.2,TRUE,57,70.1,TRUE
0.2,TRUE,44,37.2,TRUE
1.2,FALSE,1,14.4,FALSE
0.6,FALSE,96,61.8,FALSE
1.4,TRUE,32,62,TRUE
1,TRUE,36,98.1,FALSE
0,FALSE,75,84.5,FALSE
0.2,TRUE,55,72.1,FALSE
1,FALSE,5,81.6,TRUE
1.2,FALSE,47,81.7,FALSE
1.2,FALSE,32,93,FALSE
0.2,FALSE,49,47,FALSE
0.8,FALSE,21,46.1,TRUE
0.6,FALSE,89,0.9,FALSE
0.8,TRUE,97,94.8,FALSE
0.2,FALSE,20,73.4,TRUE
0.4,FALSE,96,94.6,FALSE
1.4,TRUE,55,57.8,FALSE
0.8,FALSE,83,40.9,FALSE
1.4,FALSE,8,62.3,TRUE
1.2,TRUE,20,20.9,TRUE
0,TRUE,86,86.2,TRUE
1.2,FALSE,77,71.6,TRUE
0.8,TRUE,48,28.1,FALSE
0.4,TRUE,57,10.4,FALSE
0.8,TRUE,55,45.5,FALSE
1,TRUE,59,17.3,FALSE
0.4,FALSE,92,50.5,TRUE
0.6,FALSE,80,18.7,FALSE
1.4,TRUE,16,64.7,TRUE
1,TRUE,35,76.3,FALSE
0.4,TRUE,69,74.6,TRUE
1.2,FALSE,21,81.5,TRUE
0.2,FALSE,34,10.5,FALSE
0.6,TRUE,39,70.2,TRUE
0.2,FALSE,90,19.3,TRUE
1.2,FALSE,67,13.6,FALSE
0.6,FALSE,95,35.2,FALSE
0.4,TRUE,25,37.3,TRUE
0,FALSE,28,11.2,FALSE
0.6,FALSE,86,20.1,FALSE
0.2,TRUE,61,76.2,TRUE
0.2,TRUE,63,0.5,TRUE
1.4,FALSE,70,40.1,FALSE
0,TRUE,63,87.5,TRUE
0,FALSE,76,60.9,FALSE
0,FALSE,46,46.3,FALSE
0.6,TRUE,12,75.2,FALSE
0,TRUE,72,94.6,TRUE
0.4,TRUE,49,25.9,TRUE
1.2,TRUE,100,54.6,FALSE
0,FALSE,32,95.3,FALSE
1.2,TRUE,23,91.1,FALSE
0.6,FALSE,26,9.2,TRUE
0.2,FALSE,32,36.5,FALSE
1.2,FALSE,43,85.9,TRUE
0.2,TRUE,39,56.5,TRUE
0.2,TRUE,40,96.2,TRUE
1,TRUE,0,98.7,TRUE
0.4,TRUE,44,1.9,FALSE
0.8,FALSE,66,23.4,FALSE
1.4,FALSE,1,40.7,FALSE
0.2,TRUE,28,21.5,FALSE
0.8,TRUE,5,20.7,FALSE
1.4,FALSE,88,12.2,FALSE
1.4,FALSE,39,59.3,FALSE
0.8,FALSE,24,34.5,TRUE
0.8,FALSE,50,88.6,FALSE
0.8,TRUE,13,15.7,TRUE
0,TRUE,66,10.9,FALSE
0.8,FALSE,85,91.3,TRUE
0.8,TRUE,42,82.6,FALSE
0,FALSE,95,59.1,FALSE
0.4,TRUE,22,78.3,FALSE
1.2,TRUE,92,68.6,FALSE
1,TRUE,33,62.2,TRUE
0.2,TRUE,75,58.7,TRUE
0.8,TRUE,21,18.7,FALSE
0.6,FALSE,20,81.8,TRUE
1,TRUE,40,14.3,FALSE
1.2,TRUE,3,90.8,FALSE
1.4,FALSE,61,11.4,TRUE
0.2,TRUE,6,33.7,TRUE
0.6,FALSE,47,52.3,TRUE
1.2,TRUE,87,88,TRUE
1.2,TRUE,98,83.1,TRUE
1.4,TRUE,15,70.8,TRUE
1,TRUE,68,54.6,FALSE
1,TRUE,95,12.4,TRUE
1,TRUE,20,86.7,TRUE
1,FALSE,95,42.3,TRUE
0.8,TRUE,76,63.6,TRUE
1.2,TRUE,9,51.3,FALSE
1.4,TRUE,75,56.2,TRUE
0,TRUE,72,12,TRUE
0.2,FALSE,20,65.2,FALSE
0.6,FALSE,15,60.7,TRUE
0.4,TRUE,11,49.4,TRUE
0.8,TRUE,70,90.3,TRUE
0.2,FALSE,34,83.5,FALSE
1.4,FALSE,54,67.3,FALSE
1,TRUE,44,53.6,FALSE
1.4,FALSE,41,15.5,TRUE
1,TRUE,56,58.8,FALSE
0.2,TRUE,93,38.3,FALSE
1.4,TRUE,24,38.3,TRUE
1,TRUE,38,82.5,TRUE
0.2,TRUE,4,97.4,FALSE
0.4,TRUE,3,24.5,TRUE
0,TRUE,100,41,TRUE
0.2,FALSE,87,11.8,FALSE
0.2,TRUE,51,74.9,FALSE
1.4,TRUE,23,97,TRUE
0.6,TRUE,61,75.7,FALSE
1.2,TRUE,32,55.9,TRUE
1.4,FALSE,66,69.4,FALSE
0.4,FALSE,78,18.3,FALSE
0.8,FALSE,68,53.8,FALSE
1.4,TRUE,91,50.3,FALSE
1.4,FALSE,43,26.3,TRUE
1.4,FALSE,95,57.7,FALSE
0.2,FALSE,30,53.8,TRUE
0.8,FALSE,100,36.9,FALSE
0.8,TRUE,0,49.8,TRUE
1.4,TRUE,15,18.9,TRUE
0.2,FALSE,48,21.2,TRUE
0.2,TRUE,39,68.1,TRUE
1.2,TRUE,73,72.5,TRUE
0,TRUE,11,90.6,FALSE
0.4,TRUE,5,91.3,TRUE
0.4,FALSE,15,19.9,TRUE
0.8,TRUE,42,43.3,TRUE
0.2,TRUE,77,92,TRUE
1.2,TRUE,56,28.2,TRUE
0.4,FALSE,26,24.3,FALSE
0.4,TRUE,16,86.5,TRUE
0.2,FALSE,94,31.4,FALSE
0.4,TRUE,55,19.2,FALSE
0,FALSE,98,62.4,FALSE
1,FALSE,67,38.6,FALSE
0.6,TRUE,24,12.9,FALSE
0.8,FALSE,98,95.2,FALSE
1.2,TRUE,57,25.2,TRUE
1.2,FALSE,29,36.8,FALSE
0.6,FALSE,89,89.8,FALSE
1.2,TRUE,1,58.2,TRUE
1.4,FALSE,99,46.3,TRUE
0.6,FALSE,50,76.8,FALSE
1.2,TRUE,0,72.8,TRUE
0.2,FALSE,19,11.8,TRUE
0.6,FALSE,92,82.4,TRUE
0,TRUE,9,7.1,FALSE
0.2,TRUE,85,24,FALSE
1.2,TRUE,37,20.7,TRUE
0.6,FALSE,59,14,TRUE
0,TRUE,82,43.5,FALSE
0.4,FALSE,78,81.8,FALSE
0,FALSE,97,55.4,FALSE
0.8,FALSE,31,18.5,TRUE
0,TRUE,82,94.1,TRUE
0.8,TRUE,49,6.7,FALSE
1.2,FALSE,20,84.8,FALSE
0.2,TRUE,85,74.1,TRUE
0.2,TRUE,47,75.7,FALSE
1.4,TRUE,24,61.4,TRUE
0.2,FALSE,87,61.1,TRUE
0.4,TRUE,27,71.2,TRUE
0,FALSE,13,28.4,TRUE
0.4,TRUE,40,17.6,TRUE
1.4,TRUE,53,60.6,TRUE
1.2,TRUE,11,16.8,FALSE
1.4,FALSE,33,31,TRUE
1,TRUE,34,28.7,FALSE
1,FALSE,19,47.3,TRUE
0,TRUE,64,63.9,FALSE
0,TRUE,14,13.6,TRUE
1.4,FALSE,77,76,FALSE
1.2,TRUE,84,68.2,FALSE
0.6,TRUE,3,12,TRUE
0,TRUE,31,50.9,FALSE
1.2,FALSE,15,25.4,FALSE
0.8,FALSE,89,48.2,FALSE
0.6,TRUE,75,30.9,FALSE
0,TRUE,25,44.8,TRUE
1,TRUE,22,75.4,TRUE
0,TRUE,43,21.6,FALSE
0.4,TRUE,71,23,TRUE
0,FALSE,94,78.4,TRUE
0.8,TRUE,39,21.6,FALSE
0.2,TRUE,53,60.9,TRUE
0.6,TRUE,53,81.7,TRUE
1.4,TRUE,86,0.9,FALSE
1.2,TRUE,5,79.6,TRUE
1.4,FALSE,61,44.3,FALSE
1.2,FALSE,80,45.3,TRUE
0.4,TRUE,99,30.6,FALSE
0,FALSE,20,91.1,TRUE
1,FALSE,26,30.4,TRUE
0.6,FALSE,42,36.5,TRUE
1.2,FALSE,49,38.5,FALSE
0.4,TRUE,56,47.4,FALSE
0.2,FALSE,6,97.5,FALSE
0.2,FALSE,99,62.6,TRUE
1.4,TRUE,40,53.1,FALSE
0.4,TRUE,44,0.6,FALSE
0.4,FALSE,65,46,FALSE
1.4,TRUE,5,82.9,TRUE
0.2,FALSE,12,56.4,FALSE
0.8,FALSE,5,75,TRUE
0.6,TRUE,59,60.9,FALSE
0.6,FALSE,37,90.3,FALSE
0.8,TRUE,0,88.2,FALSE
0.4,TRUE,61,69.1,FALSE
0.4,TRUE,92,24.2,TRUE
0.4,FALSE,54,1.2,FALSE
1,FALSE,71,55.3,FALSE
1.4,TRUE,30,85.7,TRUE
1.2,TRUE,44,16.7,TRUE
1.2,TRUE,81,21.1,FALSE
0.4,TRUE,79,98.9,FALSE
0.6,FALSE,77,86,TRUE
1,FALSE,62,10,TRUE
0,FALSE,89,4.7,FALSE
0.6,TRUE,47,38,TRUE
0.4,FALSE,44,95.8,TRUE
1.4,FALSE,52,53,FALSE
0.2,FALSE,15,35.6,FALSE
0.8,FALSE,14,10,FALSE
0.2,FALSE,84,76.8,TRUE
0.2,TRUE,23,37.1,FALSE
0.2,TRUE,52,34.5,TRUE
0,TRUE,14,27.6,TRUE
1.2,FALSE,28,10.6,TRUE
1,FALSE,21,68.7,TRUE
1.4,FALSE,44,74.3,TRUE
1.2,FALSE,73,28.5,FALSE
1,FALSE,39,37,FALSE
0.4,TRUE,32,94.1,TRUE
0,TRUE,35,93.7,FALSE
0.6,FALSE,47,26.1,FALSE
1.4,FALSE,61,26.3,TRUE
0.2,TRUE,28,10,FALSE
0,TRUE,80,39.7,FALSE
1,FALSE,87,52.9,FALSE
0,FALSE,72,92.5,FALSE
0.8,TRUE,80,3.9,FALSE
0.6,TRUE,81,13,FALSE
0.4,FALSE,47,15.3,TRUE
1.4,TRUE,64,85.4,TRUE
1.2,FALSE,97,19.5,FALSE
0,FALSE,16,27.7,TRUE
1.4,FALSE,39,3.6,FALSE
1,FALSE,60,89.4,FALSE
0.6,TRUE,21,64.8,TRUE
0.2,TRUE,32,97.4,FALSE
1.4,FALSE,62,2.7,TRUE
1.2,TRUE,43,47.3,FALSE
0.8,FALSE,15,5.5,TRUE
0.8,TRUE,61,84.5,TRUE
0.2,TRUE,50,72.4,FALSE
0.4,TRUE,73,92.1,TRUE
1.4,FALSE,5,69.3,FALSE
0,FALSE,27,84.1,FALSE
1.2,TRUE,78,94.5,FALSE
1,FALSE,63,77.3,FALSE
1.2,TRUE,42,5.5,FALSE
0.4,FALSE,82,13.9,FALSE
1.4,FALSE,8,19.5,TRUE
1.2,TRUE,9,1.1,FALSE
0.8,TRUE,31,33.7,TRUE
1.2,TRUE,100,86.9,TRUE
1.4,FALSE,61,86.4,TRUE
0,FALSE,52,21.5,TRUE
1.2,TRUE,6,79.2,FALSE
1.4,FALSE,58,39.7,FALSE
0.4,TRUE,74,27.4,FALSE
0.8,TRUE,27,34.2,FALSE
0,TRUE,51,28.9,FALSE
1,TRUE,47,91.7,TRUE
1,TRUE,91,24.8,FALSE
1.4,TRUE,1,75.8,FALSE
0.8,TRUE,18,46.8,FALSE
0.4,FALSE,77,30.7,FALSE
1.2,TRUE,64,71.7,TRUE
0.6,FALSE,79,88.8,TRUE
0.2,TRUE,91,58.8,TRUE
1.4,FALSE,69,83.1,FALSE
0.8,FALSE,81,27.4,TRUE
1.4,FALSE,42,91.9,FALSE
0.6,FALSE,70,29.2,TRUE
0.2,FALSE,79,35,TRUE
0.8,FALSE,48,63,TRUE
0,FALSE,2,52.4,FALSE
0,FALSE,6,84.9,TRUE
0.6,FALSE,19,24.1,FALSE
0.4,TRUE,31,74.1,TRUE
0,TRUE,10,81.8,FALSE
0.4,FALSE,41,64.7,FALSE
0.2,FALSE,8,71.7,FALSE
1.4,FALSE,5,52.9,FALSE
1.4,FALSE,49,5.8,TRUE
0,FALSE,16,50.5,TRUE
1.2,TRUE,1,21.7,FALSE
0.6,FALSE,70,79.3,TRUE
0,FALSE,73,65.2,TRUE
0,TRUE,24,31.4,TRUE
0,FALSE,65,46.2,TRUE
1,FALSE,97,35.2,FALSE
1.2,TRUE,96,39.6,FALSE
0.8,FALSE,87,47.3,FALSE
1.4,FALSE,0,44.2,FALSE
1.4,TRUE,14,56.2,FALSE
0.8,TRUE,97,31.8,TRUE
1,TRUE,89,98.1,TRUE
1.4,FALSE,80,93,FALSE
1.4,FALSE,54,70.7,TRUE
1,FALSE,5,66.3,TRUE
0.2,TRUE,5,95.9,FALSE
0.6,FALSE,13,70,TRUE
0,TRUE,16,56.8,FALSE
0.8,TRUE,69,56.3,FALSE
0.2,FALSE,20,76.9,TRUE
0.6,TRUE,9,43.8,FALSE
1.4,FALSE,94,27.4,FALSE
1.2,FALSE,31,88.7,TRUE
0,FALSE,75,33.4,FALSE
1,TRUE,63,59.3,FALSE
0.4,TRUE,7,3.9,FALSE
1,FALSE,58,94.7,TRUE
1.2,TRUE,74,2.4,TRUE
1,TRUE,21,94.4,FALSE
1,FALSE,46,23.2,TRUE
0.8,FALSE,94,18.5,TRUE
1,FALSE,20,18,FALSE
1.4,FALSE,61,10.9,TRUE
1,FALSE,50,98.1,TRUE
1,FALSE,70,69.4,TRUE
0.8,TRUE,31,93.5,TRUE
1,TRUE,47,80.9,TRUE
1,TRUE,57,68.9,TRUE
1,FALSE,54,46.4,TRUE
0.4,FALSE,91,22,FALSE
1,TRUE,54,83,TRUE
0.6,FALSE,77,44.2,TRUE
0.6,TRUE,88,33.6,FALSE
1,FALSE,76,61.3,FALSE
1,TRUE,1,29.5,FALSE
0.8,TRUE,56,60.6,TRUE
1,TRUE,94,6.6,TRUE
1,FALSE,81,48.9,FALSE
1.2,FALSE,30,93.3,TRUE
0.6,TRUE,77,96.4,FALSE
1,TRUE,86,46.9,FALSE
1,FALSE,63,26.1,FALSE
1,FALSE,3,89.5,FALSE
1,FALSE,46,72.2,TRUE
1,FALSE,74,86.4,FALSE
0,FALSE,10,51.2,FALSE
1,FALSE,88,92.5,TRUE
1,FALSE,15,92.2,FALSE
1,FALSE,28,5.1,FALSE
1,TRUE,54,19.5,FALSE
1,FALSE,61,8.4,TRUE
0.6,TRUE,83,2.9,TRUE
0.6,TRUE,49,48.5,FALSE
0.6,FALSE,30,12.5,TRUE
0.4,FALSE,60,1.5,FALSE
1,FALSE,68,93.1,TRUE
1,TRUE,81,96.3,TRUE
1,FALSE,22,51.8,TRUE
1,TRUE,6,28.1,TRUE
0,TRUE,88,44,FALSE
0.8,TRUE,87,44.8,FALSE
0,TRUE,70,30.3,TRUE
0,TRUE,43,10.9,FALSE
0,TRUE,39,70.9,TRUE
1,FALSE,32,6.4,FALSE
1,FALSE,18,3.1,FALSE
0,TRUE,66,5.6,TRUE
0,FALSE,4,88.9,FALSE
0,TRUE,96,25.3,FALSE
0,TRUE,80,95.6,FALSE
0.4,TRUE,80,77.1,FALSE
0,FALSE,0,52.8,TRUE
0,TRUE,85,57.5,FALSE
0.8,TRUE,32,94.8,TRUE
0.8,FALSE,54,17.6,FALSE
0.4,TRUE,92,18.8,FALSE
1.4,TRUE,60,12.9,FALSE
0.2,FALSE,76,35.7,FALSE
1,FALSE,76,98.7,TRUE
1.2,TRUE,35,53.1,TRUE
0,FALSE,92,36.2,FALSE
1,FALSE,72,89.3,FALSE
0,TRUE,68,87.2,TRUE
1,FALSE,16,49.4,TRUE
1,TRUE,5,24.4,FALSE
1,FALSE,19,41.5,TRUE
0.2,FALSE,100,8.8,FALSE
1,TRUE,18,49.4,TRUE
1,FALSE,87,49.9,FALSE
0,TRUE,50,32.5,TRUE
1.4,FALSE,77,29.5,TRUE
1,FALSE,70,69.2,FALSE
1,TRUE,49,73.4,TRUE
1.2,FALSE,69,94.2,TRUE
1.4,TRUE,91,93.5,FALSE
0.4,FALSE,1,5.6,FALSE
1.2,TRUE,57,64.7,TRUE
1,TRUE,17,9.4,FALSE
0.2,TRUE,74,73.7,FALSE
0.6,TRUE,55,85.2,FALSE
0.6,FALSE,48,10,TRUE
0,FALSE,55,46.5,TRUE
0.6,FALSE,91,44.4,FALSE
1.2,FALSE,23,30.3,FALSE
0.6,FALSE,13,21.7,FALSE
1.2,FALSE,52,25,FALSE
0.4,FALSE,92,10.3,FALSE
0.2,TRUE,35,2.8,FALSE
0,FALSE,52,71.9,FALSE
0.2,TRUE,98,44,TRUE
0.8,FALSE,78,46.7,TRUE
0.4,FALSE,86,47.9,FALSE
0.6,FALSE,47,74.6,TRUE
0.4,FALSE,79,93.2,FALSE
1.2,TRUE,97,52.1,FALSE
1.2,FALSE,7,36.6,TRUE
1.2,TRUE,73,17.9,TRUE
0.8,TRUE,45,73.9,FALSE
0.8,TRUE,78,85.2,FALSE
0.2,TRUE,27,62.3,TRUE
1.2,FALSE,16,20.7,FALSE
0.8,FALSE,83,90.7,TRUE
0.4,TRUE,10,87.3,TRUE
0.4,FALSE,10,69,FALSE
1.2,TRUE,21,39.6,TRUE
1.2,FALSE,80,15.9,TRUE
0.4,FALSE,82,44.2,FALSE
1.2,TRUE,42,3.8,TRUE
0,FALSE,50,84.6,TRUE
0.2,FALSE,91,65.4,FALSE
1,TRUE,14,91.4,TRUE
0.4,TRUE,21,48.1,TRUE
1.2,FALSE,55,84.5,TRUE
0.4,TRUE,16,31.3,FALSE
0,TRUE,70,12.7,FALSE
1.2,FALSE,48,77,TRUE
1.2,TRUE,81,56.5,TRUE
0.4,FALSE,58,71.5,FALSE
0.2,FALSE,35,7.6,FALSE
1.4,FALSE,18,27.5,TRUE
0.6,TRUE,96,73.3,FALSE
0,TRUE,36,58,TRUE
1,FALSE,5,7.4,FALSE
0.2,TRUE,1,16.9,FALSE
0,TRUE,71,48.6,TRUE
1,TRUE,44,23.3,FALSE
1.2,FALSE,11,55.9,FALSE
1.4,TRUE,20,84.9,FALSE
1,TRUE,79,53.7,TRUE
1.2,FALSE,89,80.2,FALSE
1.2,TRUE,10,59.5,FALSE
0.6,TRUE,54,39,TRUE
0.4,FALSE,52,58.8,TRUE
1.4,TRUE,62,28.1,TRUE
1,FALSE,79,12.2,FALSE
0.6,TRUE,83,73.3,FALSE
1,FALSE,66,28.1,TRUE
1,TRUE,66,56.3,FALSE
0.6,FALSE,16,61.4,FALSE
1,FALSE,40,17.5,TRUE
0.6,TRUE,95,23.2,FALSE
0.6,FALSE,0,12.4,FALSE
0.6,TRUE,15,59.1,TRUE
0.4,TRUE,39,32.3,TRUE
1,FALSE,98,46.9,FALSE
1.4,FALSE,95,24.3,TRUE
0.8,FALSE,7,23.1,TRUE
0.8,TRUE,42,74.1,FALSE
0.2,FALSE,18,33.2,FALSE
1.2,FALSE,20,9.6,FALSE
1.4,FALSE,62,61.8,FALSE
0,TRUE,75,50,FALSE
1.2,FALSE,96,67.5,FALSE
0.8,TRUE,8,31.7,FALSE
0.2,FALSE,89,47.6,TRUE
1.4,FALSE,11,37.5,FALSE
0.4,TRUE,94,63.2,TRUE
1.2,FALSE,77,63.2,FALSE
